knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_af,qps,tapprox
1,200,0.1,0,3,256,3,1024,90,,45.97772818199883,1007.311687196001,856.7427332309999,146.78084970599957,0.9999,1.00000016,11.74309583,0.08515642
1,200,0.1,0,3,256,3,1024,100,,45.97772818199883,1112.8804084289986,962.2608975760012,151.5490060000011,0.9999,1.00000016,10.44687059,0.09572245
1,200,0.1,0,3,256,3,1024,50,,45.97772818199883,681.316684139998,534.6986156019993,146.9953211050015,0.9999,1.00000016,18.87522351,0.05297951
100,2000,0.1,0,3,256,3,1024,100,381.4004218990012,121.45461594299924,429.6993430110015,222.05855745000008,199.42185692400017,0.999725,1.00000671,46.36198265,0.0215694
50,2000,0.1,0,3,256,3,1024,100,369.2650032360016,99.54327346599894,368.76283593399785,216.7849465040017,149.72803863399895,0.99969,1.00000522,47.34145103,0.02112314
100,2000,0.1,0,3,256,3,1024,90,381.4004218990012,121.45461594299924,367.4627623919987,211.11357439100172,153.18543301700265,0.999631,1.00000983,48.78939855,0.02049626
50,2000,0.1,0,3,256,3,1024,90,369.2650032360016,99.54327346599894,355.65947123300066,210.14402759299992,148.4981118680007,0.999618,1.00000763,48.88461416,0.02045633
5,2000,0.1,0,3,256,3,1024,100,420.6994551160005,161.11331394900117,377.64842967,215.2819812380003,156.78832768900065,0.99938,1.00000673,47.59954936,0.0210086
5,2000,0.1,0,3,256,3,1024,90,420.6994551160005,161.11331394900117,434.53185112199935,218.65303057100027,193.8236008719996,0.99936,1.00000807,47.05129732,0.0212534
1,2000,0.1,0,3,256,10,1024,100,,210.4884337149997,365.7060600100013,218.6619770960024,147.02277641800174,0.998,1.00023271,46.75491918,0.02138812
1,2000,0.1,0,3,256,10,1024,90,,210.4884337149997,356.9989282109964,208.813499284006,148.26088057699965,0.9973,1.00031371,49.02858256,0.02039627
50,2000,0.1,0,3,256,3,1024,50,369.2650032360016,99.54327346599894,330.5716454430003,179.24728368399883,148.8307404449988,0.996828,1.00012675,57.6047395,0.01735968
5,2000,0.1,0,3,256,3,1024,50,420.6994551160005,161.11331394900117,332.44128399999863,193.7936418490008,149.3279357829997,0.99672,1.00018709,53.10545912,0.01883046
100,2000,0.1,0,3,256,3,1024,50,381.4004218990012,121.45461594299924,336.68530901399936,184.97848482900008,153.69344684500174,0.99661,1.00013433,56.01414579,0.01785263
1,2000,0.1,0,3,256,5,1024,100,,112.32593533700128,364.7783116010032,215.9283881969968,147.19396027999755,0.9929,1.00103944,47.35446112,0.02111733
1,2000,0.1,0,3,256,5,1024,90,,112.32593533700128,353.8852295550023,206.39240479400175,145.5094453040001,0.9871,1.00184596,49.59316716,0.02016407
1,2000,0.1,0,3,256,10,1024,50,,210.4884337149997,323.7983551599973,180.04157660099736,147.48685415300133,0.9745,1.00247274,57.0701015,0.01752231
1,2000,0.1,0,3,256,3,1024,100,325.1224217470008,71.22621981100019,376.5101354849994,224.81351151499985,149.01247416200022,0.9688,1.00315528,45.81388609,0.02182744
1,2000,0.1,1,3,256,3,1024,100,,71.23076119799953,355.2308480580032,209.34301546499773,146.5733778089998,0.9681,1.00368225,48.89459551,0.02045216
1,2000,0.15,0,3,256,3,1024,100,,72.01319961599802,354.9350579919992,206.1977913169976,146.97447876299702,0.9675,1.00285933,49.63779125,0.02014594
