knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,2000,0.1,0,3,256,3,256,2,245.31988168298267,156.17587783397175,30.687134306994267,12.641165649984032,17.49829464801587,0.3469,1.0922894,1020.12416729,0.00098027
1,2000,0.1,0,3,256,3,256,20,245.31988168298267,156.17587783397175,52.018486896005925,35.12227070500376,17.162494499993045,0.8699,1.00990889,307.89403621,0.00324787
1,2000,0.1,0,3,256,3,256,50,245.31988168298267,156.17587783397175,59.54187416000059,42.20136741199531,17.00357839098433,0.9808,1.00131029,252.90786618,0.00395401
1,2000,0.1,0,3,256,3,256,100,245.31988168298267,156.17587783397175,62.566054876020644,51.58013294200646,17.628799161990173,0.9981,1.00014391,205.04818232,0.0048769
1,2000,0.1,0,3,256,3,256,250,245.31988168298267,156.17587783397175,73.522523311025,49.02535730099771,19.6396090729977,1.0,1.0,217.09569313,0.00460626
5,2000,0.1,0,3,256,3,256,2,296.3830196449999,155.9005895020091,33.62542104104068,14.610184721008409,19.128008610976394,0.57402,1.04323166,889.92129458,0.00112369
5,2000,0.1,0,3,256,3,256,20,296.3830196449999,155.9005895020091,55.64547482400667,37.1493008339894,17.69432838301873,0.98468,1.00073271,295.66086255,0.00338225
5,2000,0.1,0,3,256,3,256,50,296.3830196449999,155.9005895020091,62.07948374404805,45.58225106896134,17.279197001014836,0.99852,1.00006145,237.22257904,0.00421545
5,2000,0.1,0,3,256,3,256,100,296.3830196449999,155.9005895020091,64.50095197599148,47.188437175995205,17.25537357502617,0.99978,1.00000805,226.97614683,0.00440575
5,2000,0.1,0,3,256,3,256,250,296.3830196449999,155.9005895020091,69.40678611997282,50.25261030497495,17.062220057006925,1.0,1.0,212.52914513,0.00470524
50,2000,0.1,0,3,256,3,256,2,320.77176247601165,212.8224123949767,33.25673136196565,18.063915584993083,17.026411878003273,0.490272,1.0599952,820.7504464,0.0012184
50,2000,0.1,0,3,256,3,256,20,320.77176247601165,212.8224123949767,60.556731527030934,46.84394028998213,19.391493547998834,0.97375,1.00126109,248.4237013,0.00402538
50,2000,0.1,0,3,256,3,256,50,320.77176247601165,212.8224123949767,63.47714438603725,50.53318524901988,16.823772829025984,0.99776,1.00007893,220.57469226,0.00453361
50,2000,0.1,0,3,256,3,256,100,320.77176247601165,212.8224123949767,69.02563695702702,55.21949023200432,18.176754765969235,0.999724,1.00000738,204.54671981,0.00488886
50,2000,0.1,0,3,256,3,256,250,320.77176247601165,212.8224123949767,72.98237192397937,57.22510457300814,18.673273724038154,0.999986,1.00000016,193.53613752,0.00516699
100,2000,0.1,0,3,256,3,256,2,363.8533739700215,242.48515837895684,41.285215847950894,24.10729093500413,20.05087136203656,0.429512,1.07791372,628.2740192,0.00159166
100,2000,0.1,0,3,256,3,256,20,363.8533739700215,242.48515837895684,62.83773993398063,46.740846755041275,18.864652321964968,0.959451,1.00211109,253.94539069,0.00393785
100,2000,0.1,0,3,256,3,256,50,363.8533739700215,242.48515837895684,67.6056920849951,52.0299057479715,17.88404450501548,0.996184,1.00014481,224.31096575,0.0044581
100,2000,0.1,0,3,256,3,256,100,363.8533739700215,242.48515837895684,73.80809892597608,59.57520956097869,19.674719353963155,0.999509,1.0000141,192.98521082,0.00518174
100,2000,0.1,0,3,256,3,256,250,363.8533739700215,242.48515837895684,70.60635920299683,59.29041961202165,18.230250606953632,0.999973,1.00000021,190.5222829,0.00524873
1,200,0.1,0,3,256,3,256,2,233.7317985619884,95.83662193996133,49.967581181030255,32.701794469030574,18.04563250398496,0.7172,1.02664936,338.38721754,0.00295519
1,200,0.1,0,3,256,3,256,20,233.7317985619884,95.83662193996133,64.2932937790174,44.96100405801553,16.998244932037778,0.9994,1.00005528,237.15149527,0.00421671
1,200,0.1,0,3,256,3,256,50,233.7317985619884,95.83662193996133,70.07042554102372,52.42726948700147,17.86900289496407,1.0,1.0,202.21465476,0.00494524
1,200,0.1,0,3,256,3,256,100,233.7317985619884,95.83662193996133,80.50830953399418,62.2447155189584,17.96789416699903,1.0,1.0,169.03489288,0.00591594
1,200,0.1,0,3,256,3,256,250,233.7317985619884,95.83662193996133,98.52641380397836,80.5552837550058,17.840842423029244,1.0,1.0,129.08328352,0.00774694
1,500,0.1,0,3,256,3,256,2,232.6776901599951,109.33036107104272,40.11866248300066,23.565527505008504,16.97010659199441,0.4968,1.05843785,489.27831556,0.00204383
1,500,0.1,0,3,256,3,256,20,232.6776901599951,109.33036107104272,68.74813454801915,44.966478274029214,19.301700440002605,0.9812,1.00162085,237.71905963,0.00420665
