knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,2000,0.1,0,3,256,3,1024,2,325.12242174700077,71.22621981100019,215.88175915099964,25.9483947789995,191.15679829500004,0.1247,1.18920381,500.17747004,0.00199929
1,2000,0.1,0,3,256,3,1024,50,325.12242174700077,71.22621981100019,314.5143056960005,164.13439200600078,146.26594349900006,0.8576,1.0175917,63.46739663,0.01575612
1,2000,0.1,0,3,256,3,1024,90,325.12242174700077,71.22621981100019,369.44759772,222.86574501499854,151.50204548500005,0.96,1.00391353,46.09404628,0.02169478
1,2000,0.1,0,3,256,3,1024,100,325.12242174700077,71.22621981100019,376.5101354849994,224.81351151499985,149.01247416200022,0.9688,1.00315528,45.81388609,0.02182744
5,2000,0.1,0,3,256,3,1024,2,420.69945511600054,161.11331394900117,185.29917646499962,38.63533933600047,146.74129358900063,0.43244,1.05607474,299.17518415,0.00334252
5,2000,0.1,0,3,256,3,1024,50,420.69945511600054,161.11331394900117,332.44128399999863,193.79364184900078,149.3279357829997,0.99672,1.00018709,53.10545912,0.01883046
5,2000,0.1,0,3,256,3,1024,90,420.69945511600054,161.11331394900117,434.53185112199935,218.65303057100027,193.8236008719996,0.99936,1.00000807,47.05129732,0.0212534
5,2000,0.1,0,3,256,3,1024,100,420.69945511600054,161.11331394900117,377.64842967000004,215.2819812380003,156.78832768900065,0.99938,1.00000673,47.59954936,0.0210086
50,2000,0.1,0,3,256,3,1024,2,369.2650032360016,99.54327346599894,193.85944848000145,38.43871462399693,150.83516406800118,0.406024,1.04749432,306.44312719,0.00326325
50,2000,0.1,0,3,256,3,1024,50,369.2650032360016,99.54327346599894,330.5716454430003,179.24728368399883,148.8307404449988,0.996828,1.00012675,57.6047395,0.01735968
50,2000,0.1,0,3,256,3,1024,90,369.2650032360016,99.54327346599894,355.65947123300066,210.14402759299992,148.4981118680007,0.999618,1.00000763,48.88461416,0.02045633
50,2000,0.1,0,3,256,3,1024,100,369.2650032360016,99.54327346599894,368.76283593399785,216.7849465040017,149.72803863399895,0.99969,1.00000522,47.34145103,0.02112314
100,2000,0.1,0,3,256,3,1024,2,381.40042189900123,121.45461594299923,205.20631390499693,40.07967210199786,161.87550910199934,0.393037,1.04955381,297.07494715,0.00336615
100,2000,0.1,0,3,256,3,1024,50,381.40042189900123,121.45461594299923,336.68530901399936,184.97848482900008,153.69344684500174,0.99661,1.00013433,56.01414579,0.01785263
